啊,ā,a1,1
啊,a,a,1
矮,ǎi,ai3,1
爱,ài,ai4,1
爱人,àiren,ai4ren,1
安静,ānjìng,an1jing4,1
安排,ānpái,an1pai2,1
八,bā,ba1,1
把,bǎ,ba3,1
把,bǎ,ba3,1
爸爸,bàba,ba4ba,1
吧,ba,ba,1
白,bái,bai2,1
百,bǎi,bai3,1
摆,bǎi,bai3,1
班,bān,ban1,1
搬,bān,ban1,1
半,bàn,ban4,1
半天,bàntiān,ban4tian1,1
办,bàn,ban4,1
办法,bànfǎ,ban4fa3,1
办公室,bàngōngshì,ban4gong1shi4,1
帮助,bāngzhù,bang1zhu4,1
饱,bǎo,bao3,1
抱,bào,bao4,1
报,bào,bao4,1
杯,bēi,bei1,1
杯子,bēizi,bei1zi,1
北,běi,bei3,1
北边,běibiān,bei3bian1,1
倍,bèi,bei4,1
被,bèi,bei4,1
本,běn,ben3,1
本子,běnzi,ben3zi,1
比,bǐ,bi3,1
比较,bǐjiào,bi3jiao4,1
比赛,bǐsài,bi3sai4,1
笔,bǐ,bi3,1
必须,bìxū,bi4xu1,1
边,biān,bian1,1
变,biàn,bian4,1
变成,biànchéng,bian4cheng2,1
变化,biànhuà,bian4hua4,1
遍,biàn,bian4,1
表,biǎo,biao3,1
表示,biǎoshì,biao3shi4,1
表现,biǎoxiàn,biao3xian4,1
表演,biǎoyǎn,biao3yan3,1
表扬,biǎoyáng,biao3yang2,1
别,bié,bie2,1
别的,biéde,bie2de,1
别人,biéren,bie2ren,1
病,bìng,bing4,1
不错,búcuò,bu2cuo4,1
不但,búdàn,bu2dan4,1
不要,búyào,bu2yao4,1
不用,búyòng,bu2yong4,1
不,bù,bu4,1
不久,bùjiǔ,bu4jiu3,1
不如,bùrú,bu4ru2,1
不同,bùtóng,bu4tong2,1
布,bù,bu4,1
部分,bùfen,bu4fen,1
擦,cā,ca1,1
才,cái,cai2,1
菜,cài,cai4,1
参观,cānguān,can1guan1,1
参加,cānjiā,can1jia1,1
操场,cāochǎng,cao1chang3,1
草,cǎo,cao3,1
层,céng,ceng2,1
茶,chá,cha2,1
查,chá,cha2,1
差,chà,cha4,1
常,cháng,chang2,1
常常,chángcháng,chang2chang2,1
长,cháng,chang2,1
场,chǎng,chang3,1
唱,chàng,chang4,1
朝,cháo,chao2,1
车,chē,che1,1
车站,chēzhàn,che1zhan4,1
城,chéng,cheng2,1
城市,chéngshì,cheng2shi4,1
成,chéng,cheng2,1
成绩,chéngjī,cheng2ji1,1
吃,chī,chi1,1
迟到,chídào,chi2dao4,1
抽,chōu,chou1,1
出,chū,chu1,1
出发,chūfā,chu1fa1,1
出来,chūlái,chu1lai2,1
出去,chūqù,chu1qu4,1
出现,chūxiàn,chu1xian4,1
出租汽车,chūzūqìchē,chu1zu1qi4che1,1
除了_以外,chúle_yǐwài,chu2le_yi3wai4,1
穿,chuān,chuan1,1
船,chuán,chuan2,1
窗,chuāng,chuang1,1
窗户,chuānghu,chuang1hu,1
床,chuáng,chuang2,1
吹,chuī,chui1,1
春,chūn,chun1,1
春天,chūntiān,chun1tian1,1
磁带,cídài,ci2dai4,1
词,cí,ci2,1
词典,cídiǎn,ci2dian3,1
次,cì,ci4,1
从,cóng,cong2,1
从_到_,cóng_dào_,cong2_dao4_,1
从_起,cóng_qǐ,cong2_qi3,1
从前,cóngqián,cong2qian2,1
错,cuò,cuo4,1
错误,cuòwù,cuo4wu4,1
打,dǎ,da3,1
打算,dǎsuàn,da3suan4,1
大,dà,da4,1
大概,dàgài,da4gai4,1
大家,dàjiā,da4jia1,1
大声,dàshēng,da4sheng1,1
大学,dàxué,da4xue2,1
大夫,dàifu,dai4fu,1
戴,dài,dai4,1
带,dài,dai4,1
代表,dàibiǎo,dai4biao3,1
但是,dànshì,dan4shi4,1
当,dāng,dang1,1
当,dāng,dang1,1
当然,dāngrán,dang1ran2,1
刀,dāo,dao1,1
倒,dǎo,dao3,1
到,dào,dao4,1
道,dào,dao4,1
道理,dàolǐ,dao4li3,1
得,dé,de2,1
得到,dédào,de2dao4,1
的,de,de,1
地,de,de,1
得,de,de,1
得很,dehěn,dehen3,1
得,děi,dei3,1
灯,dēng,deng1,1
等,děng,deng3,1
等,děng,deng3,1
低,dī,di1,1
地,dì,di4,1
地方,dìfang,di4fang,1
第,dì,di4,1
弟弟,dìdi,di4di,1
点,diǎn,dian3,1
点,diǎn,dian3,1
点,diǎn,dian3,1
点心,diǎnxin,dian3xin,1
点钟,diǎnzhōng,dian3zhong1,1
电,diàn,dian4,1
电车,diànchē,dian4che1,1
电灯,diàndēng,dian4deng1,1
电话,diànhuà,dian4hua4,1
电视,diànshì,dian4shi4,1
电影,diànyǐng,dian4ying3,1
掉,diào,diao4,1
丢,diū,diu1,1
东,dōng,dong1,1
东边,dōngbiān,dong1bian1,1
东西,dōngxi,dong1xi,1
冬,dōng,dong1,1
冬天,dōngtiān,dong1tian1,1
懂,dǒng,dong3,1
动,dòng,dong4,1
动物,dòngwù,dong4wu4,1
都,dōu,dou1,1
读,dú,du2,1
短,duǎn,duan3,1
锻炼,duànliàn,duan4lian4,1
段,duàn,duan4,1
对,duì,dui4,1
对,duì,dui4,1
对不起,duìbuqǐ,dui4buqi3,1
顿,dùn,dun4,1
多,duō,duo1,1
多,duō,duo1,1
多,duō,duo1,1
多么,duōme,duo1me,1
多少,duōshao,duo1shao,1
饿,è,e4,1
而且,érqiě,er2qie3,1
儿子,érzi,er2zi,1
二,èr,er4,1
发,fā,fa1,1
发烧,fāshāo,fa1shao1,1
发生,fāshēng,fa1sheng1,1
发现,fāxiàn,fa1xian4,1
发展,fāzhǎn,fa1zhan3,1
法语,fǎyǔ,fa3yu3,1
翻,fān,fan1,1
翻译,fānyì,fan1yi4,1
反对,fǎnduì,fan3dui4,1
饭,fàn,fan4,1
饭店,fàndiàn,fan4dian4,1
方便,fāngbiàn,fang1bian4,1
方法,fāngfǎ,fang1fa3,1
方面,fāngmiàn,fang1mian4,1
方向,fāngxiàng,fang1xiang4,1
房间,fángjiān,fang2jian1,1
访问,fǎngwèn,fang3wen4,1
放,fàng,fang4,1
放假,fàngjià,fang4jia4,1
非常,fēicháng,fei1chang2,1
飞,fēi,fei1,1
飞机,fēijī,fei1ji1,1
分,fēn,fen1,1
分,fēn,fen1,1
_分之_,_fēnzhī_,_fen1zhi1_,1
分钟,fēnzhōng,fen1zhong1,1
丰富,fēngfù,feng1fu4,1
封,fēng,feng1,1
风,fēng,feng1,1
夫人,fūren,fu1ren,1
服务,fúwù,fu2wu4,1
服务员,fúwùyuán,fu2wu4yuan2,1
辅导,fǔdǎo,fu3dao3,1
复习,fùxí,fu4xi2,1
复杂,fùzá,fu4za2,1
父亲,fùqīn,fu4qin1,1
负责,fùzé,fu4ze2,1
附近,fùjìn,fu4jin4,1
该,gāi,gai1,1
改,gǎi,gai3,1
改变,gǎibiàn,gai3bian4,1
干净,gānjìng,gan1jing4,1
感到,gǎndào,gan3dao4,1
感冒,gǎnmào,gan3mao4,1
感谢,gǎnxiè,gan3xie4,1
敢,gǎn,gan3,1
干,gàn,gan4,1
干部,gànbù,gan4bu4,1
刚,gāng,gang1,1
刚才,gāngcái,gang1cai2,1
钢笔,gāngbǐ,gang1bi3,1
高,gāo,gao1,1
高兴,gāoxìng,gao1xing4,1
搞,gǎo,gao3,1
告诉,gàosu,gao4su,1
哥哥,gēge,ge1ge,1
歌,gē,ge1,1
个,gè,ge4,1
各,gè,ge4,1
各种,gèzhǒng,ge4zhong3,1
给,gěi,gei3,1
根,gēn,gen1,1
跟,gēn,gen1,1
更,gèng,geng4,1
工厂,gōngchǎng,gong1chang3,1
工人,gōngrén,gong1ren2,1
工业,gōngyè,gong1ye4,1
工作,gōngzuò,gong1zuo4,1
公共汽车,gōnggòngqìchē,gong1gong4qi4che1,1
公斤,gōngjīn,gong1jin1,1
公里,gōnglǐ,gong1li3,1
公园,gōngyuán,gong1yuan2,1
够,gòu,gou4,1
姑娘,gūniang,gu1niang,1
故事,gùshi,gu4shi,1
刮,guā,gua1,1
挂,guà,gua4,1
关,guān,guan1,1
关系,guānxi,guan1xi,1
关心,guānxīn,guan1xin1,1
馆,guǎn,guan3,1
广播,guǎngbō,guang3bo1,1
贵,guì,gui4,1
贵姓,guìxìng,gui4xing4,1
国,guó,guo2,1
国家,guójiā,guo2jia1,1
过,guò,guo4,1
过,guò,guo4,1
过来,guòlái,guo4lai2,1
过去,guòqù,guo4qu4,1
过去,guòqù,guo4qu4,1
哈哈,hāhā,ha1ha1,1
还,hái,hai2,1
还是,háishì,hai2shi4,1
孩子,háizi,hai2zi,1
海,hǎi,hai3,1
寒假,hánjià,han2jia4,1
喊,hǎn,han3,1
汉语,hànyǔ,han4yu3,1
汉字,hànzì,han4zi4,1
好,hǎo,hao3,1
好,hǎo,hao3,1
好吃,hǎochī,hao3chi1,1
好处,hǎochu,hao3chu,1
好看,hǎokàn,hao3kan4,1
好像,hǎoxiàng,hao3xiang4,1
号,hào,hao4,1
喝,hē,he1,1
和,hé,he2,1
合适,héshì,he2shi4,1
河,hé,he2,1
黑,hēi,hei1,1
黑板,hēibǎn,hei1ban3,1
很,hěn,hen3,1
红,hóng,hong2,1
后,hòu,hou4,1
后边,hòubiān,hou4bian1,1
忽然,hūrán,hu1ran2,1
